"","Datum","Warengruppe","Umsatz","wochentag","jahreszeit","holiday","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","spl"
"43",2013-08-26,1,165.829031676714,"Monday","Sommer",FALSE,NA,0,20.125,15,5,TRUE
"44",2013-08-27,1,118.473650434102,"Tuesday","Sommer",FALSE,NA,1,21.0875,12,NA,TRUE
"45",2013-08-29,1,178.178023803315,"Thursday","Sommer",FALSE,NA,3,20.2125,11,NA,TRUE
"46",2013-08-30,1,133.150828452892,"Friday","Sommer",FALSE,NA,6,19.7875,8,5,TRUE
"47",2013-08-31,1,130.821314898435,"Saturday","Sommer",FALSE,NA,5,18.35,16,21,TRUE
"48",2013-09-02,1,138.408723210465,"Monday","Herbst",FALSE,NA,7,16.575,17,63,TRUE
"49",2013-09-03,1,138.825618927843,"Tuesday","Herbst",FALSE,NA,7,18.225,11,21,TRUE
"50",2013-09-04,1,100.221969526295,"Wednesday","Herbst",FALSE,NA,7,18.125,5,NA,TRUE
"51",2013-09-05,1,173.658100347255,"Thursday","Herbst",FALSE,NA,0,21.7,8,NA,TRUE
"52",2013-09-06,1,171.415179710314,"Friday","Herbst",FALSE,NA,0,24.7,9,NA,TRUE
"53",2013-09-07,1,186.034060963767,"Saturday","Herbst",FALSE,NA,6,22.7625,7,NA,TRUE
"54",2013-09-08,1,88.8925958109828,"Sunday","Herbst",FALSE,NA,7,20.1625,8,61,TRUE
"55",2013-09-09,1,169.359968504942,"Monday","Herbst",FALSE,NA,8,11.575,11,63,TRUE
"56",2013-09-10,1,89.6944536084346,"Tuesday","Herbst",FALSE,NA,6,13.5875,11,65,TRUE
"57",2013-09-11,1,103.363686559795,"Wednesday","Herbst",FALSE,NA,6,13.9,8,61,TRUE
"58",2013-09-12,1,106.474399987548,"Thursday","Herbst",FALSE,NA,6,16.1125,6,61,TRUE
"59",2013-09-14,1,174.938807466572,"Saturday","Herbst",FALSE,NA,5,17.625,10,63,TRUE
"60",2013-09-15,1,55.1960062296304,"Sunday","Herbst",FALSE,NA,7,14.8625,10,21,TRUE
"61",2013-09-16,1,146.760234890658,"Monday","Herbst",FALSE,NA,3,13.1375,13,21,TRUE
"62",2013-09-17,1,136.118044538363,"Tuesday","Herbst",FALSE,NA,5,13.1375,10,63,TRUE
"63",2013-09-18,1,152.255085210606,"Wednesday","Herbst",FALSE,NA,4,13.05,9,NA,TRUE
"64",2013-09-19,1,148.674992078993,"Thursday","Herbst",FALSE,NA,5,14.8375,11,63,TRUE
"65",2013-09-20,1,110.159250328825,"Friday","Herbst",FALSE,NA,7,13.525,6,NA,TRUE
"66",2013-09-22,1,86.6668973821597,"Sunday","Herbst",FALSE,NA,6,17.1375,14,21,TRUE
"67",2013-09-23,1,111.128410563554,"Monday","Herbst",FALSE,NA,7,17.3125,14,21,TRUE
"68",2013-09-24,1,139.64144576808,"Tuesday","Herbst",FALSE,NA,8,15.7375,10,NA,TRUE
"69",2013-09-25,1,117.94119333604,"Wednesday","Herbst",FALSE,NA,6,13.5375,7,61,TRUE
"70",2013-09-26,1,203.314345156607,"Thursday","Herbst",FALSE,NA,1,12.9875,12,NA,TRUE
"71",2013-09-27,1,135.507291692088,"Friday","Herbst",FALSE,NA,5,13.0125,8,21,TRUE
"72",2013-09-28,1,134.613756840197,"Saturday","Herbst",FALSE,NA,0,13.1,8,NA,TRUE
"73",2013-09-29,1,68.6316896995448,"Sunday","Herbst",FALSE,NA,3,14.175,12,NA,TRUE
"74",2013-09-30,1,156.502435955326,"Monday","Herbst",FALSE,NA,1,12.825,14,NA,TRUE
"75",2013-10-01,1,123.397540137977,"Tuesday","Herbst",FALSE,NA,0,12.9125,13,5,TRUE
"76",2013-10-02,1,196.720969158391,"Wednesday","Herbst",FALSE,NA,1,12.7,10,NA,TRUE
"77",2013-10-03,1,75.2337302417469,"Thursday","Herbst",TRUE,NA,0,11.7625,12,5,TRUE
"78",2013-10-04,1,156.066122625816,"Friday","Herbst",FALSE,NA,5,11.2,8,63,TRUE
"79",2013-10-05,1,152.280762053885,"Saturday","Herbst",FALSE,NA,7,15.575,8,20,TRUE
"80",2013-10-06,1,92.4805772695364,"Sunday","Herbst",FALSE,NA,7,15.25,6,NA,TRUE
"81",2013-10-07,1,124.841544023845,"Monday","Herbst",FALSE,NA,1,16.275,7,NA,TRUE
"82",2013-10-08,1,96.867100978839,"Tuesday","Herbst",FALSE,NA,6,15.1125,8,61,TRUE
"83",2013-10-09,1,149.761758936995,"Wednesday","Herbst",FALSE,NA,7,14.3125,10,21,TRUE
"84",2013-10-10,1,119.300284972145,"Thursday","Herbst",FALSE,NA,5,10.975,6,NA,TRUE
"85",2013-10-11,1,123.2348187168,"Friday","Herbst",FALSE,NA,7,13.8625,20,10,TRUE
"86",2013-10-12,1,140.262421715801,"Saturday","Herbst",FALSE,NA,8,13.025,21,63,TRUE
"87",2013-10-14,1,109.863744271226,"Monday","Herbst",FALSE,NA,2,12.525,6,NA,TRUE
"88",2013-10-15,1,130.431802598324,"Tuesday","Herbst",FALSE,NA,7,10.6625,4,63,TRUE
"89",2013-10-16,1,146.070583461057,"Wednesday","Herbst",FALSE,NA,8,12.275,7,NA,TRUE
"90",2013-10-17,1,89.9411837855476,"Thursday","Herbst",FALSE,NA,7,12,15,65,TRUE
"91",2013-10-19,1,121.590860465012,"Saturday","Herbst",FALSE,NA,7,9.45,9,NA,TRUE
"92",2013-10-21,1,122.987868193302,"Monday","Herbst",FALSE,NA,7,14.2625,8,61,TRUE
"93",2013-10-22,1,111.927088663048,"Tuesday","Herbst",FALSE,NA,2,17.6375,7,NA,TRUE
"94",2013-10-24,1,123.163406361057,"Thursday","Herbst",FALSE,NA,5,12.6875,12,61,TRUE
"95",2013-10-25,1,113.661858634409,"Friday","Herbst",FALSE,NA,7,11.8875,7,61,TRUE
"96",2013-10-26,1,161.678805315967,"Saturday","Herbst",FALSE,NA,5,16.775,10,21,TRUE
"97",2013-10-27,1,102.355195816072,"Sunday","Herbst",FALSE,NA,6,14.9875,16,65,TRUE
"98",2013-10-28,1,129.482192717092,"Monday","Herbst",FALSE,NA,7,14.3625,29,63,TRUE
"99",2013-10-29,1,112.285893935052,"Tuesday","Herbst",FALSE,NA,7,10.775,17,63,TRUE
"100",2013-10-30,1,121.506077008915,"Wednesday","Herbst",FALSE,NA,6,10.4375,10,61,TRUE
"101",2013-10-31,1,133.723541287582,"Thursday","Herbst",FALSE,NA,5,11.1625,13,21,TRUE
"102",2013-11-01,1,100.182160485504,"Friday","Herbst",FALSE,NA,8,10.625,9,63,TRUE
"103",2013-11-03,1,97.4532740046654,"Sunday","Herbst",FALSE,NA,6,10.7,15,21,TRUE
"104",2013-11-04,1,137.864260444157,"Monday","Herbst",FALSE,NA,7,6.8375,7,63,TRUE
"105",2013-11-05,1,103.700267261952,"Tuesday","Herbst",FALSE,NA,4,8.9,12,61,TRUE
"106",2013-11-06,1,109.097001107423,"Wednesday","Herbst",FALSE,NA,4,8.1375,12,63,TRUE
"107",2013-11-07,1,118.470603286455,"Thursday","Herbst",FALSE,NA,6,9.5,10,61,TRUE
"108",2013-11-10,1,108.561660295105,"Sunday","Herbst",FALSE,NA,2,6.9875,12,63,TRUE
"109",2013-11-11,1,124.580485617569,"Monday","Herbst",FALSE,NA,2,8.3125,5,NA,TRUE
"110",2013-11-12,1,111.970870543294,"Tuesday","Herbst",FALSE,NA,7,5.9375,9,61,TRUE
"111",2013-11-15,1,122.76929773359,"Friday","Herbst",FALSE,NA,7,6.45,6,21,TRUE
"112",2013-11-17,1,74.3945185864517,"Sunday","Herbst",FALSE,NA,2,8.8875,8,0,TRUE
"113",2013-11-18,1,129.109032642028,"Monday","Herbst",FALSE,NA,7,6.65,5,63,TRUE
"114",2013-11-19,1,106.906118646237,"Tuesday","Herbst",FALSE,NA,8,5.8375,8,61,TRUE
"115",2013-11-20,1,124.324612351715,"Wednesday","Herbst",FALSE,NA,6,3.85,6,NA,TRUE
"116",2013-11-22,1,107.962731413831,"Friday","Herbst",FALSE,NA,7,5.375,10,21,TRUE
"117",2013-11-23,1,96.5196766761341,"Saturday","Herbst",FALSE,NA,3,4.9125,6,NA,TRUE
"118",2013-11-24,1,76.4120061231823,"Sunday","Herbst",FALSE,NA,0,4.6,16,NA,TRUE
"119",2013-11-26,1,123.431703158233,"Tuesday","Herbst",FALSE,NA,2,2.3125,6,NA,TRUE
"120",2013-11-27,1,93.5321454303922,"Wednesday","Herbst",FALSE,NA,8,7.3125,12,61,TRUE
"121",2013-11-28,1,128.842426194061,"Thursday","Herbst",FALSE,NA,2,8.025,18,NA,TRUE
"122",2013-11-30,1,104.09003869481,"Saturday","Herbst",FALSE,NA,7,5.525,10,20,TRUE
"123",2013-12-01,1,68.0762231823542,"Sunday","Winter",FALSE,NA,5,8.6625,20,61,TRUE
"124",2013-12-02,1,113.931498716313,"Monday","Winter",FALSE,NA,0,3.0625,4,10,TRUE
"125",2013-12-03,1,94.7658652080226,"Tuesday","Winter",FALSE,NA,8,1.7125,6,28,TRUE
"126",2013-12-04,1,128.922855106228,"Wednesday","Winter",FALSE,NA,7,5.85,11,63,TRUE
"127",2013-12-05,1,120.974699669869,"Thursday","Winter",FALSE,NA,7,4.4625,24,63,TRUE
"128",2013-12-06,1,112.015650593347,"Friday","Winter",FALSE,NA,6,1.7875,25,73,TRUE
"129",2013-12-07,1,121.408564819885,"Saturday","Winter",FALSE,NA,5,1,11,22,TRUE
"130",2013-12-12,1,88.2075449690532,"Thursday","Winter",FALSE,NA,8,2.525,8,28,TRUE
"131",2013-12-14,1,120.787742012371,"Saturday","Winter",FALSE,NA,7,3.0125,7,61,TRUE
"132",2013-12-16,1,120.791211521354,"Monday","Winter",FALSE,NA,8,8.775,12,NA,TRUE
"133",2013-12-17,1,74.6283250889016,"Tuesday","Winter",FALSE,NA,8,4.95,8,61,TRUE
"134",2013-12-18,1,86.4115250991858,"Wednesday","Winter",FALSE,NA,7,6.85,8,10,TRUE
"135",2013-12-19,1,101.589644453608,"Thursday","Winter",FALSE,NA,7,7.4,10,63,TRUE
"136",2013-12-20,1,114.601001275823,"Friday","Winter",FALSE,NA,7,5.2875,10,61,TRUE
"137",2013-12-21,1,124.541759682586,"Saturday","Winter",FALSE,NA,8,6.5625,13,63,TRUE
"138",2013-12-23,1,183.608991270752,"Monday","Winter",FALSE,NA,3,5.4875,10,NA,TRUE
"139",2013-12-24,1,220.330670230618,"Tuesday","Winter",TRUE,NA,7,11.4375,18,61,TRUE
"140",2013-12-27,1,152.367434643543,"Friday","Winter",FALSE,NA,7,5.7625,15,63,TRUE
"141",2013-12-30,1,126.58984459848,"Monday","Winter",FALSE,NA,4,4.75,11,10,TRUE
"142",2013-12-31,1,211.390838466052,"Tuesday","Winter",TRUE,NA,4,5.0375,7,NA,TRUE
"143",2014-01-02,1,153.166492227541,"Thursday","Winter",FALSE,NA,7,6.25,9,63,TRUE
"144",2014-01-03,1,109.484763536521,"Friday","Winter",FALSE,NA,7,6.8375,10,63,TRUE
"145",2014-01-05,1,67.7899909491401,"Sunday","Winter",FALSE,NA,7,6.1875,11,63,TRUE
"146",2014-01-06,1,146.911067784297,"Monday","Winter",FALSE,NA,7,7.9125,11,65,TRUE
"147",2014-01-07,1,147.5457609484,"Tuesday","Winter",FALSE,NA,7,10.4375,13,NA,TRUE
"148",2014-01-09,1,113.541525918277,"Thursday","Winter",FALSE,NA,7,9.6125,16,61,TRUE
"149",2014-01-10,1,119.05554059635,"Friday","Winter",FALSE,NA,7,6.6375,17,61,TRUE
"150",2014-01-11,1,127.95986526115,"Saturday","Winter",FALSE,NA,7,5.5875,18,63,TRUE
"151",2014-01-13,1,103.994034974792,"Monday","Winter",FALSE,NA,8,3.1375,10,69,TRUE
"152",2014-01-14,1,166.347532764571,"Tuesday","Winter",FALSE,NA,6,4.225,6,28,TRUE
"153",2014-01-15,1,139.042567223334,"Wednesday","Winter",FALSE,NA,7,3.228571,7,28,TRUE
"154",2014-01-19,1,53.0014671833047,"Sunday","Winter",FALSE,NA,7,2.8625,19,10,TRUE
"155",2014-01-20,1,99.6819363621683,"Monday","Winter",FALSE,NA,8,0.3875,13,61,TRUE
"156",2014-01-22,1,102.344424741026,"Wednesday","Winter",FALSE,NA,8,-3.1125,14,22,TRUE
"157",2014-01-23,1,105.740276056438,"Thursday","Winter",FALSE,NA,8,-3.1875,11,22,TRUE
"158",2014-01-24,1,143.164448746188,"Friday","Winter",FALSE,NA,2,-5.1625,13,10,TRUE
"159",2014-01-25,1,129.09233380561,"Saturday","Winter",FALSE,NA,5,-7.0375,8,NA,TRUE
"160",2014-01-27,1,177.797639286942,"Monday","Winter",FALSE,NA,5,0.7,9,69,TRUE
"161",2014-01-28,1,63.9844736113181,"Tuesday","Winter",FALSE,NA,7,-0.2625,10,10,TRUE
"162",2014-01-29,1,75.1156293987916,"Wednesday","Winter",FALSE,NA,7,-5.05,13,77,TRUE
"163",2014-01-30,1,140.794194214435,"Thursday","Winter",FALSE,NA,7,-4.4875,8,77,TRUE
"164",2014-01-31,1,133.303478983532,"Friday","Winter",FALSE,NA,8,-3.6875,7,10,TRUE
"165",2014-02-01,1,101.932146850505,"Saturday","Winter",FALSE,NA,7,3.225,10,63,TRUE
"166",2014-02-02,1,76.7574943519772,"Sunday","Winter",FALSE,NA,0,5.4875,8,NA,TRUE
"167",2014-02-03,1,154.323103655617,"Monday","Winter",FALSE,NA,1,3.475,8,10,TRUE
"168",2014-02-04,1,130.284962020954,"Tuesday","Winter",FALSE,NA,5,3.925,6,10,TRUE
"169",2014-02-05,1,128.512982776585,"Wednesday","Winter",FALSE,NA,4,3.675,8,10,TRUE
"170",2014-02-06,1,93.2145715747619,"Thursday","Winter",FALSE,NA,7,7.875,11,20,TRUE
"171",2014-02-07,1,99.7607356052368,"Friday","Winter",FALSE,NA,7,8.475,15,63,TRUE
"172",2014-02-08,1,120.862739831777,"Saturday","Winter",FALSE,NA,7,6.2875,12,61,TRUE
"173",2014-02-09,1,57.0074894928223,"Sunday","Winter",FALSE,NA,5,6.7125,15,63,TRUE
"174",2014-02-10,1,154.183743327497,"Monday","Winter",FALSE,NA,2,6.6375,9,NA,TRUE
"175",2014-02-11,1,93.6050031862626,"Tuesday","Winter",FALSE,NA,7,4.925,12,61,TRUE
"176",2014-02-12,1,165.738384661521,"Wednesday","Winter",FALSE,NA,4,6.1,13,10,TRUE
"177",2014-02-13,1,112.481302733138,"Thursday","Winter",FALSE,NA,5,7.45,13,NA,TRUE
"178",2014-02-15,1,169.517528839106,"Saturday","Winter",FALSE,NA,5,11.5,15,NA,TRUE
"179",2014-02-16,1,66.1488570531461,"Sunday","Winter",FALSE,NA,7,6.0625,17,63,TRUE
"180",2014-02-18,1,101.128808084497,"Tuesday","Winter",FALSE,NA,7,7.8,8,10,TRUE
"181",2014-02-19,1,139.712963296062,"Wednesday","Winter",FALSE,NA,7,6.325,8,61,TRUE
"182",2014-02-20,1,115.493305434483,"Thursday","Winter",FALSE,NA,6,9.1,11,10,TRUE
"183",2014-02-21,1,195.749507104036,"Friday","Winter",FALSE,NA,7,7.5125,11,61,TRUE
"184",2014-02-22,1,138.333592943018,"Saturday","Winter",FALSE,NA,7,5.925,11,21,TRUE
"185",2014-02-23,1,79.4422222430818,"Sunday","Winter",FALSE,NA,1,8.625,12,NA,TRUE
"186",2014-02-26,1,95.0173566075507,"Wednesday","Winter",FALSE,NA,5,10.1875,8,NA,TRUE
"187",2014-02-27,1,142.599019478366,"Thursday","Winter",FALSE,NA,1,8.8875,7,10,TRUE
"188",2014-02-28,1,121.868073185287,"Friday","Winter",FALSE,NA,7,6.1875,6,61,TRUE
"189",2014-03-02,1,78.304687930775,"Sunday","Frueling",FALSE,NA,6,6.5625,9,10,TRUE
"190",2014-03-03,1,123.816845981151,"Monday","Frueling",FALSE,NA,0,9.1875,10,5,TRUE
"191",2014-03-04,1,110.664379295042,"Tuesday","Frueling",FALSE,NA,7,6.6875,7,10,TRUE
"192",2014-03-05,1,104.010771805795,"Wednesday","Frueling",FALSE,NA,7,4.6875,7,28,TRUE
"193",2014-03-08,1,116.679903321343,"Saturday","Frueling",FALSE,NA,0,9.9375,6,NA,TRUE
"194",2014-03-09,1,92.618539664325,"Sunday","Frueling",FALSE,NA,0,16.4,9,NA,TRUE
"195",2014-03-10,1,150.516891177572,"Monday","Frueling",FALSE,NA,0,15.8,9,NA,TRUE
"196",2014-03-11,1,151.221168841794,"Tuesday","Frueling",FALSE,NA,0,7.85,9,NA,TRUE
"197",2014-03-12,1,91.0474158512995,"Wednesday","Frueling",FALSE,NA,0,10.2125,8,0,TRUE
"198",2014-03-14,1,123.912083680615,"Friday","Frueling",FALSE,NA,1,9.6125,10,NA,TRUE
"199",2014-03-15,1,137.683942432828,"Saturday","Frueling",FALSE,NA,4,9.0375,27,NA,TRUE
"200",2014-03-16,1,67.1675793738149,"Sunday","Frueling",FALSE,NA,7,9.3375,24,61,TRUE
"201",2014-03-19,1,99.6845823880711,"Wednesday","Frueling",FALSE,NA,7,9.45,18,61,TRUE
"202",2014-03-21,1,104.8547456835,"Friday","Frueling",FALSE,NA,7,6.8875,14,63,TRUE
"203",2014-03-23,1,71.128447822127,"Sunday","Frueling",FALSE,NA,4,8.3625,10,NA,TRUE
"204",2014-03-24,1,174.642338237835,"Monday","Frueling",FALSE,NA,3,7.5625,7,NA,TRUE
"205",2014-03-25,1,130.828394911681,"Tuesday","Frueling",FALSE,NA,2,7.725,10,21,TRUE
"206",2014-03-26,1,164.073709880608,"Wednesday","Frueling",FALSE,NA,5,7.85,11,21,TRUE
"207",2014-03-27,1,217.595707302914,"Thursday","Frueling",FALSE,NA,6,5.1,12,NA,TRUE
"208",2014-03-28,1,210.364589078685,"Friday","Frueling",FALSE,NA,8,5.4,12,10,TRUE
"209",2014-03-30,1,77.0718729480323,"Sunday","Frueling",FALSE,NA,0,11.2625,8,28,TRUE
"210",2014-03-31,1,165.782083579859,"Monday","Frueling",FALSE,NA,7,7.4375,4,45,TRUE
"211",2014-04-01,1,143.934571968464,"Tuesday","Frueling",FALSE,NA,8,5.7625,13,10,TRUE
"212",2014-04-02,1,145.793768476637,"Wednesday","Frueling",FALSE,NA,2,12.45,8,10,TRUE
"213",2014-04-04,1,149.094869799179,"Friday","Frueling",FALSE,NA,6,6.45,15,0,TRUE
"214",2014-04-05,1,166.366651532902,"Saturday","Frueling",FALSE,NA,8,9.825,5,61,TRUE
"215",2014-04-06,1,79.4656989548114,"Sunday","Frueling",FALSE,NA,7,12.1875,8,63,TRUE
"216",2014-04-07,1,175.863088463562,"Monday","Frueling",FALSE,NA,7,15.7875,10,63,TRUE
"217",2014-04-08,1,104.711261779938,"Tuesday","Frueling",FALSE,NA,7,9.8125,19,61,TRUE
"218",2014-04-09,1,168.945582350845,"Wednesday","Frueling",FALSE,NA,7,10.1875,20,21,TRUE
"219",2014-04-10,1,153.689913112803,"Thursday","Frueling",FALSE,NA,7,9.75,4,NA,TRUE
"220",2014-04-11,1,150.197974521935,"Friday","Frueling",FALSE,NA,6,12.0625,10,NA,TRUE
"221",2014-04-12,1,230.41912840806,"Saturday","Frueling",FALSE,NA,4,11.2,12,0,TRUE
"222",2014-04-13,1,106.9717520005,"Sunday","Frueling",FALSE,NA,6,11.0125,21,NA,TRUE
"223",2014-04-14,1,126.41212420811,"Monday","Frueling",FALSE,NA,5,8.9,23,61,TRUE
"224",2014-04-15,1,109.472548649702,"Tuesday","Frueling",FALSE,NA,0,9.9125,15,NA,TRUE
"225",2014-04-16,1,110.647041867212,"Wednesday","Frueling",FALSE,NA,0,11.3625,9,NA,TRUE
"226",2014-04-17,1,259.250121969818,"Thursday","Frueling",FALSE,NA,5,14.4,14,NA,TRUE
"227",2014-04-20,1,57.7509189177541,"Sunday","Frueling",FALSE,NA,0,13.875,15,5,TRUE
"228",2014-04-21,1,109.431179378053,"Monday","Frueling",TRUE,NA,4,13.425,15,0,TRUE
"229",2014-04-22,1,169.196248011103,"Tuesday","Frueling",FALSE,NA,3,15.45,10,10,TRUE
"230",2014-04-23,1,162.980101956576,"Wednesday","Frueling",FALSE,NA,8,9.825,11,21,TRUE
"231",2014-04-24,1,155.338780558714,"Thursday","Frueling",FALSE,NA,8,9.175,11,NA,TRUE
"232",2014-04-26,1,143.988134045973,"Saturday","Frueling",FALSE,NA,0,15.45,11,NA,TRUE
"233",2014-04-27,1,67.5791269771508,"Sunday","Frueling",FALSE,NA,0,16.225,16,NA,TRUE
"234",2014-04-28,1,142.899118015523,"Monday","Frueling",FALSE,NA,0,15.8875,11,NA,TRUE
"235",2014-04-30,1,168.447583367336,"Wednesday","Frueling",FALSE,NA,3,18,8,NA,TRUE
"236",2014-05-02,1,194.877300541007,"Friday","Frueling",FALSE,NA,6,10.225,13,NA,TRUE
"237",2014-05-05,1,344.712427419033,"Monday","Frueling",FALSE,NA,8,10.7125,6,21,TRUE
"238",2014-05-06,1,117.634364611904,"Tuesday","Frueling",FALSE,NA,7,15.775,9,NA,TRUE
"239",2014-05-07,1,90.0459392081919,"Wednesday","Frueling",FALSE,NA,4,14.2125,15,65,TRUE
"240",2014-05-11,1,61.0065824620734,"Sunday","Frueling",FALSE,NA,7,11.5625,12,63,TRUE
"241",2014-05-12,1,117.63724487723,"Monday","Frueling",FALSE,NA,7,12.7,14,63,TRUE
"242",2014-05-13,1,140.036281903001,"Tuesday","Frueling",FALSE,NA,7,11.5625,15,21,TRUE
"243",2014-05-15,1,123.833393024816,"Thursday","Frueling",FALSE,NA,2,13.7875,8,NA,TRUE
"244",2014-05-16,1,182.247331664509,"Friday","Frueling",FALSE,NA,5,13.8875,9,NA,TRUE
"245",2014-05-17,1,128.405482365147,"Saturday","Frueling",FALSE,NA,0,16.625,8,0,TRUE
"246",2014-05-18,1,94.9265718873585,"Sunday","Frueling",FALSE,NA,4,16.5125,13,NA,TRUE
"247",2014-05-19,1,108.184039506908,"Monday","Frueling",FALSE,NA,6,13.7625,8,61,TRUE
"248",2014-05-20,1,112.779561925048,"Tuesday","Frueling",FALSE,NA,0,20.725,12,NA,TRUE
"249",2014-05-21,1,123.754439846218,"Wednesday","Frueling",FALSE,NA,2,26.8625,8,NA,TRUE
"250",2014-05-22,1,116.368035292474,"Thursday","Frueling",FALSE,NA,0,26.375,8,NA,TRUE
"251",2014-05-23,1,129.753386763715,"Friday","Frueling",FALSE,NA,7,18.0125,12,65,TRUE
"252",2014-05-24,1,117.223121200496,"Saturday","Frueling",FALSE,NA,2,17.9625,8,NA,TRUE
"253",2014-05-26,1,117.265384467109,"Monday","Frueling",FALSE,NA,0,19.9625,13,NA,TRUE
"254",2014-05-28,1,190.55318445032,"Wednesday","Frueling",FALSE,NA,7,10.2,22,21,TRUE
"255",2014-05-30,1,187.239006431102,"Friday","Frueling",FALSE,NA,0,17.9625,13,NA,TRUE
"256",2014-05-31,1,171.347524831197,"Saturday","Frueling",FALSE,NA,3,15.9125,15,NA,TRUE
"257",2014-06-01,1,93.4027092149433,"Sunday","Sommer",FALSE,NA,7,13.825,6,21,TRUE
